도,등급,등급_num,유통구분,유통_num,예상단가(원),모델,테스트_RMSE,실제평균단가,예측-실제평균(원),마지막판매단가,예측-마지막판매(원)
전라남도,3 (특),3,2 (도매지),2,19721,XGBoost,4566.39,19136,585,28900,-9179
전라남도,3 (특),3,3 (소비지),3,20971,XGBoost,4566.39,24990,-4019,33900,-12929
전라북도,1 (보통),1,1 (생산지),1,7956,LSTM,532.14,7220,736,7000,956
전라북도,1 (보통),1,2 (도매지),2,9882,XGBoost,4566.39,9500,382,9500,382
전라북도,1 (보통),1,3 (소비지),3,10323,LSTM,202.39,11100,-777,8000,2323
전라북도,2 (상),2,1 (생산지),1,11901,XGBoost,4566.39,10882,1019,10000,1901
전라북도,2 (상),2,2 (도매지),2,10294,Prophet,1700.0,10300,-6,8600,1694
전라북도,2 (상),2,3 (소비지),3,11945,XGBoost,4566.39,13838,-1893,12000,-55
전라북도,3 (특),3,1 (생산지),1,12463,LSTM,4543.11,13318,-855,13000,-537
전라북도,3 (특),3,2 (도매지),2,21052,XGBoost,4566.39,23272,-2220,30000,-8948
전라북도,3 (특),3,3 (소비지),3,17367,LSTM,3937.82,17471,-104,15500,1867
제주특별자치도,1 (보통),1,1 (생산지),1,5647,LSTM,350.07,5678,-31,6000,-353
제주특별자치도,1 (보통),1,2 (도매지),2,9301,XGBoost,4566.39,8000,1301,8000,1301
제주특별자치도,1 (보통),1,3 (소비지),3,9128,LSTM,757.47,9678,-550,10000,-872
제주특별자치도,2 (상),2,1 (생산지),1,11821,Prophet,826.74,10000,1821,10000,1821
제주특별자치도,2 (상),2,2 (도매지),2,12876,XGBoost,4566.39,12000,876,12000,876
제주특별자치도,2 (상),2,3 (소비지),3,14653,SARIMAX,131.59,15000,-347,15000,-347
제주특별자치도,3 (특),3,1 (생산지),1,13265,SARIMAX,275.64,14000,-735,14000,-735
제주특별자치도,3 (특),3,3 (소비지),3,17272,SARIMAX,273.21,18000,-728,18000,-728
충청남도,2 (상),2,3 (소비지),3,20721,XGBoost,4566.39,23000,-2279,23000,-2279
